Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
MLBL,19.61,376.60,376.60,351.10,356.00,356.00,0.00,0.00,355.81,"12,211.00",384.24,"4,344,815.70",45,-28.24,25.50,-7.35,7.26,0.05,396.00,395.67,488.00,351.10
MLBS,28.21,"1,468.40","1,468.40","1,468.40","1,468.40","1,468.40",0.00,0.00,"1,468.40",20.00,"1,498.33","29,368.00",1,-29.93,0.00,-2.00,0.00,0.00,"1,657.74","1,812.26","2,530.00","1,412.10"
MMF1,20.94,8.75,8.75,8.75,8.75,8.75,0.00,0.00,8.75,100.00,8.58,875.00,1,0.17,0.00,1.98,0.00,0.00,9.01,8.93,9.95,7.85
MMKJL,28.11,565.00,565.00,565.00,565.00,565.00,0.00,0.00,565.00,10.00,569.47,"5,650.00",1,-4.47,0.00,-0.78,0.00,0.00,612.53,656.69,890.40,451.80
MNBBL,24.48,430.00,433.50,416.10,426.00,426.00,0.00,0.00,426.54,"35,074.00",437.63,"14,960,517.00",124,-11.63,17.40,-2.66,4.18,-0.13,391.88,386.65,503.00,349.00
MNMF1,23.38,8.83,8.83,8.83,8.83,8.83,0.00,0.00,8.83,"10,000.00",9.01,"88,300.00",1,-0.18,0.00,-2.00,0.00,0.00,9.22,0.00,10.42,8.67
MPFL,20.59,555.00,555.00,509.10,525.00,525.00,0.00,0.00,519.47,920.00,565.57,"477,912.00",12,-40.57,45.90,-7.17,9.02,1.05,611.48,636.67,839.40,509.10
MSHL,21.56,883.80,895.00,877.10,877.10,877.10,0.00,0.00,892.24,510.00,901.83,"455,041.00",6,-24.73,17.90,-2.74,2.04,-1.73,892.11,925.96,"1,141.00",808.50
MSLB,22.19,"1,454.30","1,454.30","1,454.30","1,454.30","1,454.30",0.00,0.00,"1,454.30",68.00,"1,483.93","98,892.40",1,-29.63,0.00,-2.00,0.00,0.00,"1,309.29","1,361.90","1,851.00","1,130.20"
NABBC,27.33,675.70,675.70,675.70,675.70,675.70,0.00,0.00,675.70,85.00,689.46,"57,434.50",3,-13.76,0.00,-2.00,0.00,0.00,"1,572.87","1,489.42","2,060.00",530.00
NABIL,18.92,502.90,502.90,471.00,483.00,483.00,0.00,0.00,483.37,"16,660.00",513.15,"8,052,975.00",120,-30.15,31.90,-5.88,6.77,-0.08,503.04,500.81,619.00,471.00
NADEP,22.48,766.20,766.20,751.00,751.00,751.00,0.00,0.00,759.91,116.00,781.81,"88,149.60",2,-30.81,15.20,-3.94,2.02,-1.19,860.58,897.41,"1,127.00",751.00
NBL,17.80,242.00,244.00,225.50,230.00,230.00,0.00,0.00,235.34,"10,094.00",246.21,"2,375,472.80",51,-16.21,18.50,-6.58,8.20,-2.32,260.23,260.06,313.00,225.50
NESDO,23.94,"1,470.00","1,470.00","1,428.00","1,428.10","1,428.10",0.00,0.00,"1,431.91",222.00,"1,486.47","317,883.50",9,-58.37,42.00,-3.93,2.94,-0.27,"1,675.26","1,880.70","2,522.00","1,428.00"
NFS,23.88,633.00,633.00,603.00,605.00,605.00,0.00,0.00,617.63,515.00,632.92,"318,078.50",11,-27.92,30.00,-4.41,4.98,-2.09,675.86,740.01,"1,605.00",576.00
NGPL,19.33,391.00,391.00,357.40,364.00,364.00,0.00,0.00,364.21,"73,519.00",397.08,"26,776,292.60",163,-33.08,33.60,-8.33,9.40,-0.06,372.58,340.27,571.00,250.00
NHDL,27.60,653.00,653.00,653.00,653.00,653.00,0.00,0.00,653.00,200.00,665.57,"130,600.00",3,-12.57,0.00,-1.89,0.00,0.00,728.40,765.10,"1,002.60",520.00
NHPC,18.88,195.00,195.00,178.60,178.60,178.60,0.00,0.00,186.40,"2,425.00",198.39,"452,028.50",21,-19.79,16.40,-9.98,9.18,-4.37,215.38,216.91,254.00,178.60
NICA,16.53,333.00,333.00,308.70,314.00,314.00,0.00,0.00,318.47,"7,459.00",339.78,"2,375,434.60",48,-25.78,24.30,-7.59,7.87,-1.42,363.34,369.25,505.00,308.70
NICL,18.32,578.00,578.00,549.00,549.00,549.00,0.00,0.00,568.95,80.00,583.23,"45,516.00",4,-34.23,29.00,-5.87,5.28,-3.63,711.26,802.88,"1,064.00",549.00
NICLBSL,24.58,564.00,564.00,535.00,542.00,542.00,0.00,0.00,544.04,610.00,575.05,"331,862.00",16,-33.05,29.00,-5.75,5.42,-0.38,639.92,653.47,775.00,535.00
NIFRA,20.58,264.70,264.70,249.90,254.00,254.00,0.00,0.00,252.64,"40,702.00",270.01,"10,282,878.70",148,-16.01,14.80,-5.93,5.92,0.54,282.06,276.26,328.10,240.10
NIL,18.92,660.00,660.00,634.00,634.00,634.00,0.00,0.00,645.76,33.00,673.46,"21,310.00",3,-39.46,26.00,-5.86,4.10,-1.85,718.47,767.18,999.00,634.00
NIMB,19.65,201.20,201.20,190.00,193.00,193.00,0.00,0.00,193.60,"18,981.00",205.25,"3,674,769.60",59,-12.25,11.20,-5.97,5.89,-0.31,214.55,215.15,264.90,190.00
NLG,16.61,773.70,773.70,711.00,711.00,711.00,0.00,0.00,729.74,"1,272.00",789.40,"928,232.00",25,-78.40,62.70,-9.93,8.82,-2.64,827.10,887.62,"1,382.00",711.00
